Target,K_0,K_0_err,K_1,K_1_err,K_2,K_2_err,P_0,P_0_err,P_1,P_1_err,P_2,P_2_err,RMS_0,RMS_1,RMS_2,logL_0,logL_1,logL_2,K2_0,K2_0_err,K2_1,K2_1_err,K2_2,K2_2_err,P2_0,P2_0_err,P2_1,P2_1_err,P2_2,P2_2_err,real_P,real_K,real_P2,real_K2,lowest_RMS,highest_logL
HD224016,89.528418,1.925659,89.141296,2.093527,91.162075,1.913067,795.949318,2.937815,797.942829,2.834688,797.334288,2.842788,9.6639,9.9323,9.6509,-3.5142,-3.5706,-3.5535,,,,,,,,,,,,,796.7,95.0,,,RMS_2,logL_0
HD17820,68.775618,4.154241,67.230159,4.133379,68.438146,3.734286,2115.036706,23.121204,2091.587557,23.515054,2100.286358,25.19151,9.5226,9.4166,9.8485,-3.4071,-3.3825,-3.3604,,,,,,,,,,,,,2098.775,67.0,,,RMS_1,logL_2
BD700503,76.552399,10.202286,85.554642,9.50157,81.273545,8.559837,3661.801281,10.81024,3662.209411,10.125367,3660.77531,10.315456,6.4815,6.4383,6.5482,-3.0978,-3.0744,-3.1302,,,,,,,,,,,,,3661.8,88.0,,,RMS_1,logL_1
TOI1273,27.414939,1.513823,27.17464,1.474074,27.629518,1.451785,4.633164,0.000702,4.632939,0.000652,4.632938,0.000657,8.2812,7.8679,7.8503,-3.2991,-3.2627,-3.2435,,,,,,,,,,,,,4.6,27.0,,,RMS_2,logL_2
TOI1736,4.062493,0.617746,3.941952,0.582385,3.732629,0.601619,7.071653,0.001788,7.071571,0.001699,7.071677,0.001842,5.6825,5.2309,5.3621,-2.8735,-2.7986,-2.8324,200.416122,0.902407,200.606129,0.857453,200.09191,0.886421,568.995463,0.622056,569.384291,0.575801,569.210536,0.590641,7.07,4.1,570.1,201.1,RMS_1,logL_1
TOI2134,4.509113,0.826508,4.367655,0.721671,4.70599,0.720876,9.233652,0.00467,9.23328,0.004195,9.233099,0.004414,5.8841,5.1805,5.145,-2.9747,-2.819,-2.826,10.329806,1.540935,10.534927,1.321398,10.660147,1.218877,95.534659,0.279171,95.563954,0.251528,95.461703,0.249276,9.22,3.4,95.5,9.74,RMS_2,logL_1
TOI1710,7.787545,1.395289,8.182552,1.504739,7.253266,1.441439,24.241429,0.051506,24.228901,0.047548,24.271217,0.058495,5.4235,5.3227,5.6765,-2.9254,-2.9625,-3.0485,,,,,,,,,,,,,24.28,6.4,,,RMS_1,logL_0
TOI1296,33.1473,3.860142,33.293992,3.913321,33.73035,3.747242,3.945896,0.003906,3.946168,0.003867,3.945469,0.003848,9.2644,9.3373,9.0303,-3.556,-3.5796,-3.5739,,,,,,,,,,,,,3.9,34.8,,,RMS_2,logL_0
TOI1298,25.825961,6.335139,25.971693,6.490566,25.461786,6.486165,4.524343,0.009128,4.524463,0.009118,4.524238,0.009158,18.4526,18.3622,18.1102,-4.1067,-4.1037,-4.0967,,,,,,,,,,,,,4.5,34.4,,,RMS_2,logL_2
TOI1199,29.300294,2.182418,29.432893,2.193745,29.671549,2.262815,3.672339,0.000599,3.672245,0.000595,3.672161,0.000572,12.6937,12.2147,12.2725,-3.7746,-3.7301,-3.7339,,,,,,,,,,,,,3.67,27.5,,,RMS_1,logL_1
TOI1836,9.404043,2.315582,9.456216,2.052407,8.549929,2.444409,20.36977,0.042975,20.367191,0.043598,20.350324,0.063755,14.8238,14.516,15.564,-3.8659,-3.8484,-3.888,,,,,,,,,,,,,20.38,7.5,,,RMS_1,logL_1
TOI5076,5.696949,1.963861,5.930705,1.841108,5.650455,1.899344,23.385689,0.192179,23.376715,0.179761,23.360321,0.191302,11.5922,11.3135,11.4867,-3.6637,-3.6401,-3.639,,,,,,,,,,,,,23.44,4.23,,,RMS_1,logL_2
